iter	Passed	Remaining
909	11375	3625
910	11386	3612
911	11395	3598
912	11406	3585
913	11415	3572
914	11426	3559
915	11438	3546
916	11451	3534
917	11461	3520
918	11476	3509
919	11488	3496
920	11499	3483
921	11511	3470
922	11523	3458
923	11536	3445
924	11549	3433
925	11561	3421
926	11571	3407
927	11583	3395
928	11594	3382
929	11608	3370
930	11619	3357
931	11632	3344
932	11644	3332
933	11655	3319
934	11667	3306
935	11678	3293
936	11691	3281
937	11700	3268
938	11710	3255
939	11723	3242
940	11733	3229
941	11745	3216
942	11755	3203
943	11765	3190
944	11777	3178
945	11789	3165
946	11800	3152
947	11817	3141
948	11829	3128
949	11841	3116
950	11852	3103
951	11865	3091
952	11877	3078
953	11888	3065
954	11898	3052
955	11911	3040
956	11923	3027
957	11932	3014
958	11944	3001
959	11957	2989
960	11969	2976
961	11981	2964
962	11991	2951
963	12002	2938
964	12012	2925
965	12023	2912
966	12034	2899
967	12048	2887
968	12059	2874
969	12071	2862
970	12083	2849
971	12095	2837
972	12106	2824
973	12117	2811
974	12128	2798
975	12142	2786
976	12153	2773
977	12162	2760
978	12173	2748
979	12184	2735
980	12194	2722
981	12204	2709
982	12216	2696
983	12229	2684
984	12252	2674
985	12269	2662
986	12280	2650
987	12291	2637
988	12303	2625
989	12316	2612
990	12333	2601
991	12346	2588
992	12357	2576
993	12371	2563
994	12384	2551
995	12395	2538
996	12406	2526
997	12423	2514
998	12447	2504
999	12472	2494
1000	12499	2484
1001	12513	2472
1002	12525	2460
1003	12538	2447
1004	12547	2434
1005	12561	2422
1006	12574	2409
1007	12588	2397
1008	12601	2385
1009	12612	2372
1010	12626	2360
1011	12637	2347
1012	12648	2334
1013	12660	2322
1014	12669	2309
1015	12682	2296
1016	12693	2284
1017	12703	2271
1018	12713	2258
1019	12726	2245
1020	12734	2232
1021	12746	2220
1022	12757	2207
1023	12770	2194
1024	12783	2182
1025	12795	2169
1026	12806	2157
1027	12817	2144
1028	12828	2131
1029	12840	2119
1030	12851	2106
1031	12863	2094
1032	12874	2081
1033	12888	2069
1034	12901	2056
1035	12911	2043
